mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_5,cpu_6,cpu_7
15,11,6456,4264,26,20,15840,18336,15,9,5160,936,19,17,5352,4264,0.6,0.41,0.39,0.35,0.3,0.29
2,0,32,1064,3,0,808,1384,8,2,1800,696,13,8,7224,2344,0.43,0.41,0.4,0.35,0.26,0.27
4,0,776,1224,19,17,9528,14688,20,18,13536,4584,11,6,4264,2984,0.56,0.44,0.43,0.41,0.31,0.3
4,0,1288,968,19,17,696,8248,24,20,7992,6712,13,7,5544,2216,0.43,0.41,0.41,0.38,0.27,0.27
19,17,16992,7992,18,14,14688,11448,13,7,1128,2664,19,17,3240,4968,0.58,0.51,0.4,0.37,0.31,0.31
10,4,5736,1736,20,17,776,11064,18,14,6456,12576,3,0,256,776,0.52,0.47,0.42,0.38,0.3,0.3
8,4,3752,2856,26,20,14688,376,18,15,6712,12576,3,0,2664,1320,0.54,0.47,0.43,0.39,0.31,0.31
18,14,11832,9528,15,9,4968,4392,15,10,4264,7480,20,17,14112,5160,0.55,0.49,0.46,0.41,0.32,0.32
18,15,9912,2600,15,10,7992,4392,15,9,8248,1256,13,8,6968,2792,0.44,0.4,0.4,0.38,0.27,0.27
10,4,2344,120,15,11,14112,8504,11,6,1224,2280,4,0,1480,1384,0.55,0.44,0.39,0.31,0.28,0.28
13,8,3624,2216,3,0,256,1192,10,4,2536,1992,6,1,808,808,0.4,0.4,0.37,0.36,0.25,0.26
