mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
25,20,8504,13536,0.62
18,15,1288,10680,0.58
18,14,16416,1544,0.72
11,6,6712,1032,0.57
15,10,256,1416,0.56
8,2,1928,1160,0.67
6,1,3112,600,0.64
5,0,3496,1256,0.75
26,20,26416,19080,0.79
7,2,968,1544,0.64
15,11,9912,4776,0.56
15,9,10296,4264,0.69
13,8,440,5544,0.63
26,20,29296,376,0.67
15,11,11832,1544,0.57
4,0,2664,1064,0.69
4,0,2856,1288,0.69
3,0,1672,456,0.66
19,17,4392,13536,0.66
25,20,1128,17568,0.64
15,10,6968,7224,0.66
25,20,10296,7992,0.59
15,9,11448,6200,0.61
19,17,15264,600,0.55
4,0,2792,32,0.59
8,4,3112,1544,0.57
18,14,2600,3112,0.69
6,1,4584,144,0.58
20,18,8248,9144,0.62
15,9,12216,5160,0.55
26,20,1800,15840,0.62
8,4,392,840,0.7
13,8,9144,3880,0.7
20,18,376,5992,0.64
15,9,4264,296,0.51
18,15,11064,13536,0.67
22,19,19848,5352,0.56
2,0,1736,968,0.72
26,20,11448,5160,0.64
3,0,904,1288,0.77
26,20,11064,3624,0.58
22,19,1384,7224,0.62
8,4,1544,1000,0.67
18,15,632,5160,0.51
2,0,616,288,0.63
15,11,1128,7480,0.57
19,17,16416,2152,0.52
7,2,2664,1928,0.55
15,12,7224,2792,0.58
20,18,2792,14112,0.69
22,19,16992,12216,0.67
19,17,6456,7736,0.58
5,0,504,744,0.68
8,2,5992,1800,0.63
13,8,1128,2984,0.55
25,20,26416,18336,0.77
18,14,11448,3112,0.62
15,9,10296,3496,0.57
18,14,6456,9144,0.61
22,19,16416,5352,0.67
18,14,10680,8760,0.64
19,17,5352,11832,0.6
10,4,2536,840,0.65
24,20,6456,16416,0.67
20,18,1160,2600,0.65
22,19,2344,6712,0.55
22,19,20616,12960,0.76
25,20,28336,11064,0.66
8,2,4968,1384,0.7
8,4,1928,120,0.62
4,0,256,648,0.53
13,8,11448,680,0.49
13,7,7736,472,0.51
6,1,3752,344,0.57
15,11,8504,3112,0.67
11,6,2984,4968,0.62
18,15,1288,12960,0.6
22,19,12960,5352,0.68
3,0,1416,344,0.58
15,12,1128,3624,0.69
10,4,296,2088,0.6
8,2,4584,1064,0.75
20,18,19080,9144,0.75
13,8,8760,6712,0.69
6,1,2600,176,0.7
18,15,10296,14112,0.73
3,0,2216,1000,0.65
15,12,12216,2408,0.56
7,2,840,1928,0.56
8,4,4584,1608,0.7
18,15,6712,13536,0.71
13,7,9912,1928,0.54
15,11,4584,1224,0.62
6,1,4968,488,0.64
18,15,13536,7224,0.75
13,7,9144,2344,0.69
20,18,9912,15840,0.71
8,4,3496,3496,0.55
13,8,7224,4584,0.65
8,2,4264,1256,0.54
13,7,4392,712,0.57
18,15,8760,13536,0.71
13,8,1800,3240,0.59
2,0,2216,224,0.65
20,17,12576,14688,0.7
3,0,568,328,0.63
18,14,15840,2024,0.65
11,6,8760,1032,0.5
4,0,1064,1224,0.54
20,18,16992,968,0.59
5,0,2984,1000,0.6
15,12,5992,2600,0.62
7,2,2664,208,0.54
13,8,3880,2536,0.61
2,0,1800,600,0.53
18,15,12960,5160,0.54
20,17,18336,3112,0.59
8,4,4968,2984,0.61
13,8,9912,4584,0.61
20,18,2792,3624,0.58
18,15,13536,7224,0.68
5,0,2088,1032,0.58
18,14,9912,3624,0.64
18,15,4264,1416,0.7
20,17,9912,10680,0.63
8,4,536,696,0.56
26,20,2408,13536,0.59
20,17,15264,6200,0.7
25,20,1128,19080,0.64
15,12,7736,8504,0.66
2,0,296,288,0.48
20,18,15264,12216,0.73
26,20,14112,19080,0.74
10,4,2344,2472,0.71
13,8,440,4584,0.72
15,9,8248,5736,0.57
15,10,7992,7224,0.67
2,0,648,488,0.7
15,12,3112,4264,0.65
7,2,4008,1256,0.68
8,2,1096,1672,0.52
15,9,4264,2984,0.72
2,0,1544,1352,0.61
3,0,176,1352,0.61
15,10,8504,5992,0.59
15,11,5544,5352,0.68
8,2,5736,696,0.63
19,17,14112,904,0.56
6,1,1224,632,0.61
4,0,3112,376,0.52
13,7,1608,1320,0.65
4,0,2792,712,0.6
15,11,12216,1032,0.62
15,9,12576,2664,0.63
25,20,6968,19080,0.75
15,12,1736,8760,0.62
11,6,680,1544,0.55
15,10,6968,4968,0.61
20,18,4008,11064,0.66
8,4,3752,3112,0.73
8,4,4968,1864,0.7
24,20,16992,10296,0.61
5,0,144,392,0.59
15,11,7736,1928,0.76
24,20,8504,9912,0.71
22,19,2344,9912,0.66
7,2,2216,1288,0.57
15,10,7480,6968,0.78
24,20,3240,8248,0.61
15,9,256,4968,0.74
8,4,6968,2216,0.57
4,0,3624,1192,0.65
15,9,11832,7736,0.62
10,4,5736,3240,0.69
2,0,2216,712,0.59
8,4,3624,1992,0.71
13,7,6712,5352,0.68
26,20,28336,16416,0.77
20,18,14112,10680,0.68
22,19,4584,15264,0.62
8,2,5160,1544,0.68
20,17,9528,15264,0.68
5,0,3624,1288,0.62
20,18,2792,15264,0.63
15,11,9912,6456,0.6
8,2,1544,208,0.65
7,2,840,1384,0.59
20,17,1992,9528,0.7
2,0,256,120,0.55
8,4,3112,2472,0.69
18,14,9144,224,0.62
18,14,2600,4584,0.73
18,15,16416,1128,0.63
3,0,680,968,0.52
15,10,5992,4136,0.57
10,4,2856,1608,0.67
20,18,14112,9144,0.61
3,0,1320,904,0.6
15,10,1416,4584,0.58
2,0,1736,1160,0.54
26,20,584,14688,0.61
13,7,4584,4136,0.66
18,15,15840,7736,0.6
15,12,8760,8760,0.72
15,11,4968,872,0.61
2,0,72,32,0.69
26,20,27376,11448,0.69
13,8,1800,4008,0.59
26,20,15264,15264,0.71
15,12,840,8760,0.58
20,18,12576,10296,0.69
25,20,6968,9144,0.75
7,2,2536,256,0.73
25,20,5736,7992,0.64
15,11,3112,5736,0.55
19,17,12576,3368,0.51
8,2,2344,296,0.58
15,9,4008,1416,0.56
13,7,6968,1928,0.54
10,4,5544,3240,0.56
15,10,5544,776,0.71
15,12,840,7736,0.7
22,19,7992,1416,0.67
2,0,1672,424,0.64
24,20,14112,18336,0.73
